Frequency,Problem,Difficulty,Topics
100.0%,Bus Routes,Hard,Array;Hash Table;Breadth-First Search
87.5%,Number of Islands,Medium,Array;DFS;BFS;Union-Find;Matrix
87.5%,Kth Smallest Element in a BST,Medium,Tree;DFS;Binary Search Tree
87.5%,Alien Dictionary,Hard,Graph;Topological Sort
87.5%,Number of Islands II,Hard,Union-Find
87.5%,Find the Closest Palindrome,Hard,Math;String
87.5%,Construct Quad Tree,Medium,Array;Divide and Conquer;Tree;Matrix
87.5%,Squares of a Sorted Array,Easy,Array;Two Pointers;Sorting
87.5%,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,Medium,Array;Queue;Sliding Window
75.0%,Text Justification,Hard,Array;String;Simulation
75.0%,Word Search,Medium,Array;String;Backtracking;Matrix
75.0%,Best Time to Buy and Sell Stock,Easy,Array;Dynamic Programming
75.0%,LRU Cache,Medium,Hash Table;Linked List;Design
75.0%,Word Search II,Hard,Array;String;Backtracking;Trie;Matrix
75.0%,Product of Array Except Self,Medium,Array;Prefix Sum
75.0%,Design Hit Counter,Medium,Design;Queue
75.0%,Insert Delete GetRandom O(1),Medium,Array;Hash Table;Math;Design
75.0%,Evaluate Division,Medium,Array;String;DFS;BFS;Union-Find;Graph
75.0%,My Calendar I,Medium,Array;Binary Search;Design;Ordered Set
75.0%,Random Pick with Weight,Medium,Array;Math;Binary Search;Prefix Sum
75.0%,First Unique Number,Medium,Hash Table;Design;Queue
62.5%,Two Sum,Easy,Array;Hash Table
62.5%,Letter Combinations of a Phone Number,Medium,Hash Table;String;Backtracking
62.5%,Merge k Sorted Lists,Hard,Linked List;Divide and Conquer;Heap
62.5%,Search in Rotated Sorted Array,Medium,Array;Binary Search
62.5%,Valid Sudoku,Medium,Array;Hash Table;Matrix
62.5%,Sudoku Solver,Hard,Array;Hash Table;Backtracking;Matrix
62.5%,Group Anagrams,Medium,Array;Hash Table;String;Sorting
62.5%,Spiral Matrix,Medium,Array;Matrix;Simulation
62.5%,Minimum Window Substring,Hard,Hash Table;String;Sliding Window
62.5%,Decode Ways,Medium,String;Dynamic Programming
62.5%,Maximum Depth of Binary Tree,Easy,Tree;DFS;BFS
62.5%,Word Break,Medium,Array;Hash Table;String;Dynamic Programming
62.5%,Course Schedule,Medium,DFS;BFS;Graph;Topological Sort
62.5%,Course Schedule II,Medium,DFS;BFS;Graph;Topological Sort
62.5%,Basic Calculator,Hard,Math;String;Stack;Recursion
62.5%,Valid Anagram,Easy,Hash Table;String;Sorting
62.5%,Meeting Rooms II,Medium,Intervals;Heap;Sorting
62.5%,Serialize and Deserialize Binary Tree,Hard,String;Tree;DFS;BFS;Design
62.5%,House Robber III,Medium,Dynamic Programming;Tree;DFS
62.5%,Top K Frequent Elements,Medium,Array;Hash Table;Heap;Sorting
62.5%,Shuffle an Array,Medium,Array;Math;Design;Randomized
62.5%,All O`one Data Structure,Hard,Hash Table;Linked List;Design
62.5%,The Maze,Medium,BFS;DFS;Matrix
62.5%,Design In-Memory File System,Hard,Trie;Design;Hash Table
62.5%,Exclusive Time of Functions,Medium,Array;Stack
62.5%,Top K Frequent Words,Medium,Array;Hash Table;String;Heap
62.5%,Cherry Pickup,Hard,Array;Dynamic Programming;Matrix
62.5%,Making A Large Island,Hard,Array;DFS;BFS;Union-Find;Matrix
62.5%,Shortest Bridge,Medium,Array;DFS;BFS;Matrix
62.5%,Time Based Key-Value Store,Medium,Hash Table;String;Binary Search;Design
62.5%,Leftmost Column with at Least a One,Medium,Binary Search;Matrix;Interactive
62.5%,Merge Strings Alternately,Easy,Two Pointers;String
62.5%,Minimum Number of Operations to Make Array Continuous,Hard,Array;Hash Table;Binary Search;Sliding Window
62.5%,Escape the Spreading Fire,Hard,Array;Binary Search;BFS;Matrix
62.5%,Count Subarrays With Fixed Bounds,Hard,Array;Queue;Sliding Window
62.5%,Split Message Based on Limit,Hard,String;Enumeration
62.5%,Divide Nodes Into the Maximum Number of Groups,Hard,DFS;BFS;Union-Find;Graph
62.5%,Minimum Edge Reversals So Every Node Is Reachable,Hard,Dynamic Programming;DFS;BFS;Graph
62.5%,Minimum Operations to Write the Letter Y on a Grid,Medium,Array;Hash Table;Matrix
62.5%,Block Placement Queries,Hard,Array;Binary Search;Binary Indexed Tree;Segment Tree
62.5%,Find Minimum Time to Reach Last Room I,Medium,Array;Graph;Heap;Shortest Path
62.5%,Rotating the Box,Medium,Array;Two Pointers;Matrix
50.0%,String to Integer (atoi),Medium,String
50.0%,Regular Expression Matching,Hard,String;Dynamic Programming;Recursion
50.0%,Roman to Integer,Easy,Hash Table;Math;String
50.0%,Generate Parentheses,Medium,String;Dynamic Programming;Backtracking
