Topic,Problem,Rating,Difficulty Band,Tags,Link,Companies (pattern-relevant)
Dynamic Programming,Fair Division,800,Easy (800-1100),"dp, greedy, math",https://codeforces.com/problemset/problem/1472/B,"Google, Amazon, Microsoft, Uber"
Dynamic Programming,Hit the Lottery,800,Easy (800-1100),"dp, greedy",https://codeforces.com/problemset/problem/996/A,"Google, Amazon, Microsoft, Uber"
Dynamic Programming,Maximum Increase,800,Easy (800-1100),"dp, greedy, implementation",https://codeforces.com/problemset/problem/702/A,"Google, Amazon, Meta, Microsoft"
Graphs,Destroying Bridges,800,Easy (800-1100),"graphs, greedy, math",https://codeforces.com/problemset/problem/1944/A,"Google, Amazon, Meta, Uber"
Graphs,Love Triangle,800,Easy (800-1100),graphs,https://codeforces.com/problemset/problem/939/A,"Google, Amazon, Meta, Uber"
Graphs,PolandBall and Hypothesis,800,Easy (800-1100),"brute force, graphs, math, number theory",https://codeforces.com/problemset/problem/755/A,"Google, Amazon, Meta, Uber"
Trees,Sum in Binary Tree,800,Easy (800-1100),"bitmasks, combinatorics, math, trees",https://codeforces.com/problemset/problem/1843/C,"Google, Amazon, Meta, Microsoft"
Data Structures,Advantage,800,Easy (800-1100),"data structures, implementation, sortings",https://codeforces.com/problemset/problem/1760/C,"Google, Amazon, Meta, Microsoft"
Data Structures,ICPC Balloons,800,Easy (800-1100),"data structures, implementation",https://codeforces.com/problemset/problem/1703/B,"Google, Amazon, Meta, Microsoft"
Data Structures,Word Game,800,Easy (800-1100),"data structures, implementation",https://codeforces.com/problemset/problem/1722/C,"Google, Amazon, Meta, Microsoft"
Binary Search,Can I Square?,800,Easy (800-1100),"binary search, implementation",https://codeforces.com/problemset/problem/1915/C,"Google, Amazon, Meta, Microsoft"
Binary Search,Legs,800,Easy (800-1100),"binary search, math, ternary search",https://codeforces.com/problemset/problem/1996/A,"Google, Amazon, Meta, Uber"
Binary Search,New Year and Hurry,800,Easy (800-1100),"binary search, brute force, implementation, math",https://codeforces.com/problemset/problem/750/A,"Google, Amazon, Meta, Microsoft"
Two Pointers,Favorite Sequence,800,Easy (800-1100),"implementation, two pointers",https://codeforces.com/problemset/problem/1462/A,"Amazon, Meta, Microsoft"
Two Pointers,Prepend and Append,800,Easy (800-1100),"implementation, two pointers",https://codeforces.com/problemset/problem/1791/C,"Amazon, Meta, Microsoft"
Two Pointers,Sereja and Dima,800,Easy (800-1100),"greedy, implementation, two pointers",https://codeforces.com/problemset/problem/381/A,"Google, Amazon, Meta, Microsoft"
Strings,Boy or Girl,800,Easy (800-1100),"brute force, implementation, strings",https://codeforces.com/problemset/problem/236/A,"Google, Amazon, Meta, Microsoft"
Strings,Petya and Strings,800,Easy (800-1100),"implementation, strings",https://codeforces.com/problemset/problem/112/A,"Google, Amazon, Meta, Microsoft"
Strings,Way Too Long Words,800,Easy (800-1100),strings,https://codeforces.com/problemset/problem/71/A,"Google, Amazon, Meta"
