Rank,Problem,LeetCode #,Difficulty,Acceptance %,Frequency %,Tier,Primary Topic,Companies
1,Two Sum,1,Easy,57.1,100.0,S,Array/Hash Table,Amazon;Google;Meta;Uber
2,Best Time to Buy and Sell Stock,121,Easy,56.4,88.5,S,Array/DP,Amazon;Google;Meta;Uber
3,LRU Cache,146,Medium,46.8,81.9,S,Design/Hash Table/Linked List,Amazon;Google;Meta;Uber
4,Number of Islands,200,Medium,63.8,81.5,S,Graph/DFS/BFS/Matrix,Amazon;Google;Meta;Uber
5,Top K Frequent Elements,347,Medium,65.9,77.5,S,Hash Table/Heap/Bucket Sort,Amazon;Google;Meta;Uber
6,Merge Intervals,56,Medium,51.2,76.5,S,Array/Sorting,Amazon;Google;Meta;Uber
7,Merge k Sorted Lists,23,Hard,58.9,76.2,S,Linked List/Heap/Divide&Conquer,Amazon;Google;Meta;Uber
8,Add Two Numbers,2,Medium,48.0,75.0,S,Linked List/Math,Amazon;Google;Meta;Uber
9,Trapping Rain Water,42,Hard,66.8,74.9,S,Array/Two Pointers/Stack/DP,Amazon;Google;Meta;Uber
10,Longest Substring Without Repeating Characters,3,Medium,38.5,74.0,S,Hash Table/String/Sliding Window,Amazon;Google;Meta;Uber
11,Next Permutation,31,Medium,44.8,73.2,S,Array/Two Pointers,Amazon;Google;Meta;Uber
12,3Sum,15,Medium,38.6,72.8,S,Array/Two Pointers/Sorting,Amazon;Google;Meta;Uber
13,Group Anagrams,49,Medium,72.2,72.7,S,Array/Hash Table/String/Sorting,Amazon;Google;Meta;Uber
14,Longest Common Prefix,14,Easy,47.1,72.6,S,String/Trie,Amazon;Google;Meta;Uber
15,Letter Combinations of a Phone Number,17,Medium,65.5,72.2,S,Hash Table/String/Backtracking,Amazon;Google;Meta;Uber
16,Valid Parentheses,20,Easy,43.7,72.1,S,String/Stack,Amazon;Google;Meta;Uber
17,Search in Rotated Sorted Array,33,Medium,44.1,71.9,S,Array/Binary Search,Amazon;Google;Meta;Uber
18,Random Pick with Weight,528,Medium,48.9,70.9,S,Array/Math/Binary Search/Prefix Sum,Amazon;Google;Meta;Uber
19,Kth Largest Element in an Array,215,Medium,68.8,70.3,S,Array/Heap/Quickselect,Amazon;Google;Meta;Uber
20,Find Peak Element,162,Medium,46.8,68.8,S,Array/Binary Search,Amazon;Google;Meta;Uber
21,Course Schedule,207,Medium,50.8,68.1,S,Graph/DFS/BFS/Topological Sort,Amazon;Google;Meta;Uber
22,Roman to Integer,13,Easy,66.3,67.7,S,Hash Table/Math/String,Amazon;Google;Meta;Uber
23,Spiral Matrix,54,Medium,56.2,67.6,S,Array/Matrix/Simulation,Amazon;Google;Meta;Uber
24,Subarray Sum Equals K,560,Medium,46.8,67.6,S,Array/Hash Table/Prefix Sum,Amazon;Google;Meta;Uber
25,Container With Most Water,11,Medium,59.6,67.4,S,Array/Two Pointers/Greedy,Amazon;Google;Meta;Uber
26,Median of Two Sorted Arrays,4,Hard,46.0,67.4,S,Array/Binary Search/Divide&Conquer,Amazon;Google;Meta;Uber
27,Merge Strings Alternately,1768,Easy,82.1,67.4,S,Two Pointers/String,Amazon;Google;Meta;Uber
28,Merge Sorted Array,88,Easy,54.4,67.4,S,Array/Two Pointers,Amazon;Google;Meta
